;recall;;precision;;success_rate;;catalog ;;;;
k;MNB;Entangled tin = 2;MNB;Entangled tin = 2;MNB;Entangled tin = 2;MNB;Entangled tin = 2;;;
2;0.0267868344171371;0.0172862939723;0.13781836461126;0.07784;0.240449061662198;0.14832;0.175085262797769;0.411;;;
4;0.0423784162046571;0.0397819110308;0.123910857908847;0.09044;0.383880697050938;0.28304;0.314834168605346;0.802;;;
6;0.0492855024064196;0.0559264354469;0.104473860589812;0.0855466666667;0.441018766756032;0.35808;0.39817262500087;1119;;;
8;0.0552223249450878;0.0656049865614;0.0933939343163538;0.07586;0.499329758713136;0.39776;0.474592818732655;1462;;;
10;0.0618483333631265;0.0745352651861;0.0878351206434341;0.069184;0.550770777479892;0.4392;0.557931275128187;1783;;;
12;0.0661017605055026;0.0828029055939;0.081434316353886;0.06408;0.584282841823056;0.46752;0.620727813152922;2100;;;
14;0.067889994628683;0.0905756150124;0.0740377250095752;0.0601942857143;0.601876675603217;0.49344;0.65840573596776;2425;;;
16;0.0686659460793832;0.0972355842465;0.0676420073726541;0.05667;0.616286863270777;0.5144;0.687462439155476;2775;;;
18;0.0696957482500597;0.103151678156;0.0627978850163802;0.0534755555556;0.632875335120643;0.53168;0.718009229686151;3163;;;
20;0.0733590311830267;0.107437209698;0.0605144101876701;0.050088;0.662868632707774;0.54512;0.768778634156993;3575;;;